Fecha y Hora del hecho,Fecha del hecho,Dia de la semana,Hora del hecho (HH:MM),Comuna/Corregimiento,Tipo de via de Hechos,Clase de Accidente,Genero,Edad,Características de la victima,Vehiculo de la Victima,Vehiculo 2 de la contraparte,Vehiculo 3 de la contraparte,Vehiculo 4 de la contraparte
08/08/2012 11:10:00 AM,08/08/2012 12:00:00 AM,miércoles,1899-12-31T11:10:00.000,1,Municipal,Peatón Atropellado,Masculino,1,Peatón,Autónomo (Peatón),Vehiculo particular,No aplica,No aplica
08/20/2012 01:40:00 AM,08/20/2012 12:00:00 AM,lunes,1899-12-31T01:40:00.000,4,Municipal,Colisión con Objeto Fijo,Masculino,19,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
08/29/2012 01:40:00 AM,08/29/2012 12:00:00 AM,miércoles,1899-12-31T01:40:00.000,4,Municipal,Colisión con Objeto Fijo,Masculino,20,Pasajero Moto,Motocicleta,No aplica,No aplica,No aplica
09/02/2012 12:00:00 AM,09/02/2012 12:00:00 AM,domingo,1899-12-31T00:00:00.000,Vegalarga,Municipal,Peatón Atropellado,Masculino,43,Peatón,Autónomo (Peatón),Vehiculo particular,No aplica,No aplica
09/03/2012 12:00:00 AM,09/03/2012 12:00:00 AM,lunes,1899-12-31T00:00:00.000,1,Municipal,Colisión con Objeto Móvil,Femenino,47,Conductor Moto,Motocicleta,Motocicleta,No aplica,No aplica
09/03/2012 07:12:00 PM,09/03/2012 12:00:00 AM,lunes,1899-12-31T19:12:00.000,5,Municipal,Peatón Atropellado,Femenino,54,Peatón,Autónomo (Peatón),Microbus/Busetón,No aplica,No aplica
09/05/2012 12:00:00 AM,09/05/2012 12:00:00 AM,miércoles,1899-12-31T00:00:00.000,5,Municipal,Sin Dato,Masculino,21,Conductor Moto,Motocicleta,Sin dato,No aplica,No aplica
09/08/2012 12:42:00 AM,09/08/2012 12:00:00 AM,sábado,1899-12-31T00:42:00.000,3,Municipal,Colisión con Objeto Fijo,Masculino,23,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
09/08/2012 07:18:00 AM,09/08/2012 12:00:00 AM,sábado,1899-12-31T07:18:00.000,2,Municipal,Colisión con Objeto Móvil,Masculino,53,Conductor Moto,Motocicleta,Sin dato,No aplica,No aplica
09/09/2012 02:00:00 AM,09/09/2012 12:00:00 AM,domingo,1899-12-31T02:00:00.000,3,Municipal,Colisión con Objeto Fijo,Masculino,26,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
09/17/2012 08:47:00 PM,09/17/2012 12:00:00 AM,lunes,1899-12-31T20:47:00.000,9,Municipal,Colisión con Objeto Móvil,Masculino,24,Conductor Moto,Motocicleta,Motocicleta,No aplica,No aplica
09/29/2012 06:00:00 AM,09/29/2012 12:00:00 AM,sábado,1899-12-31T06:00:00.000,Vegalarga,Municipal,Volcamiento,Masculino,24,Conductor Vehículo,Vehiculo particular,Sin dato,No aplica,No aplica
10/15/2012 12:00:00 AM,10/15/2012 12:00:00 AM,lunes,1899-12-31T00:00:00.000,3,Municipal,Sin Dato,Masculino,24,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
10/29/2012 12:00:00 AM,10/29/2012 12:00:00 AM,lunes,1899-12-31T00:00:00.000,9,Municipal,Caída de Ocupante,Femenino,48,Pasajero Moto,Motocicleta,No aplica,No aplica,No aplica
11/18/2012 12:00:00 AM,11/18/2012 12:00:00 AM,domingo,1899-12-31T00:00:00.000,4,Municipal,Colisión con Objeto Móvil,Femenino,19,Conductor Moto,Motocicleta,Vehiculo particular,No aplica,No aplica
11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,miércoles,1899-12-31T00:00:00.000,2,Municipal,Sin Dato,Masculino,27,Conductor Moto,Motocicleta,Sin dato,No aplica,No aplica
11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,miércoles,1899-12-31T00:00:00.000,9,Municipal,Peatón Atropellado,Femenino,71,Peatón,Autónomo (Peatón),Vehiculo particular,No aplica,No aplica
11/23/2012 12:00:00 AM,11/23/2012 12:00:00 AM,viernes,1899-12-31T00:00:00.000,9,Municipal,Peatón Atropellado,Femenino,68,Peatón,Autónomo (Peatón),Motocicleta,No aplica,No aplica
11/30/2012 12:00:00 AM,11/30/2012 12:00:00 AM,viernes,1899-12-31T00:00:00.000,2,Municipal,Peatón Atropellado,Masculino,77,Peatón,Autónomo (Peatón),Camión/Camioneta,No aplica,No aplica
12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,lunes,1899-12-31T00:00:00.000,2,Municipal,Colisión con Objeto Fijo,Masculino,24,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
12/18/2012 12:00:00 AM,12/18/2012 12:00:00 AM,martes,1899-12-31T00:00:00.000,3,Municipal,Colisión con Objeto Fijo,Masculino,21,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,miércoles,1899-12-31T00:00:00.000,4,Municipal,Colisión con Objeto Móvil,Masculino,25,Conductor Moto,Motocicleta,Camión/Camioneta,No aplica,No aplica
12/24/2012 12:00:00 AM,12/24/2012 12:00:00 AM,lunes,1899-12-31T00:00:00.000,1,Municipal,Otra Clase de Accidente,Femenino,23,Pasajero Vehículo,Vehiculo particular,No aplica,No aplica,No aplica
12/25/2012 12:00:00 AM,12/25/2012 12:00:00 AM,martes,1899-12-31T00:00:00.000,3,Municipal,Colisión con Objeto Fijo,Masculino,23,Pasajero Moto,Motocicleta,No aplica,No aplica,No aplica
01/04/2013 05:00:00 AM,01/04/2013 12:00:00 AM,viernes,1899-12-31T05:00:00.000,5,Municipal,Colisión con Objeto Móvil,Masculino,18,Conductor Moto,Motocicleta,Camión/Camioneta,No aplica,No aplica
01/05/2013 12:00:00 AM,01/05/2013 12:00:00 AM,sábado,1899-12-31T00:00:00.000,9,Municipal,Colisión con Objeto Fijo,Masculino,59,Conductor Moto,Taxi,Sin dato,Sin dato,Sin dato
01/10/2013 11:05:00 PM,01/10/2013 12:00:00 AM,jueves,1899-12-31T23:05:00.000,4,Municipal,Colisión con Objeto Fijo,Masculino,49,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
01/21/2013 06:30:00 AM,01/21/2013 12:00:00 AM,lunes,1899-12-31T06:30:00.000,6,Municipal,Colisión con Objeto Móvil,Masculino,29,Conductor Moto,Taxi,Camión/Camioneta,Sin dato,Sin dato
01/24/2013 01:50:00 AM,01/24/2013 12:00:00 AM,jueves,1899-12-31T01:50:00.000,3,Municipal,Colisión con Objeto Fijo,Masculino,29,Conductor Moto,Taxi,Sin dato,Sin dato,Sin dato
01/30/2013 12:00:00 AM,01/30/2013 12:00:00 AM,miércoles,1899-12-31T00:00:00.000,5,Municipal,Peatón Atropellado,Femenino,72,Peatón,Autónomo (Peatón),Motocicleta,No aplica,No aplica
02/09/2013 12:00:00 AM,02/09/2013 12:00:00 AM,sábado,1899-12-31T00:00:00.000,El Caguán,Municipal,Colisión con Objeto Móvil,Masculino,24,Conductor Moto,Motocicleta,Vehiculo particular,No aplica,No aplica
02/27/2013 08:30:00 PM,02/27/2013 12:00:00 AM,miércoles,1899-12-31T20:30:00.000,7,Municipal,Peatón Atropellado,Masculino,58,Peatón,Bicicleta,Taxi,Sin dato,Sin dato
02/28/2013 12:00:00 AM,02/28/2013 12:00:00 AM,jueves,1899-12-31T00:00:00.000,4,Municipal,Sin Dato,Masculino,27,Conductor Moto,Motocicleta,Sin dato,No aplica,No aplica
03/08/2013 08:00:00 PM,03/08/2013 12:00:00 AM,viernes,1899-12-31T20:00:00.000,1,Municipal,Colisión con Objeto Fijo,Femenino,54,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
04/14/2013 12:00:00 AM,04/14/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,El Caguán,Municipal,Colisión con Objeto Móvil,Masculino,42,Conductor Moto,Motocicleta,Motocicleta,No aplica,No aplica
04/15/2013 12:00:00 AM,04/15/2013 12:00:00 AM,lunes,1899-12-31T00:00:00.000,9,Municipal,Colisión con Objeto Fijo,Masculino,42,Conductor Moto,Taxi,Lancha/otro,Sin dato,Sin dato
05/09/2013 06:00:00 AM,05/09/2013 12:00:00 AM,jueves,1899-12-31T06:00:00.000,2,Municipal,Colisión con Objeto Móvil,Masculino,36,Conductor Moto,Taxi,Tractomula,Sin dato,Sin dato
05/19/2013 12:00:00 AM,05/19/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,3,Municipal,Sin Dato,Femenino,56,Sin Dato,Sin dato,Motocicleta,No aplica,No aplica
05/25/2013 12:00:00 AM,05/25/2013 12:00:00 AM,sábado,1899-12-31T00:00:00.000,6,Municipal,Colisión con Objeto Fijo,Femenino,38,Pasajero Moto,Motocicleta,No aplica,No aplica,No aplica
05/26/2013 12:00:00 AM,05/26/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,4,Municipal,Colisión con Objeto Móvil,Masculino,22,Conductor Moto,Motocicleta,Microbus/Busetón,No aplica,No aplica
05/28/2013 12:00:00 AM,05/28/2013 12:00:00 AM,martes,1899-12-31T00:00:00.000,4,Municipal,Colisión con Objeto Móvil,Masculino,46,Conductor Moto,Taxi,Taxi,Sin dato,Sin dato
06/04/2013 12:00:00 AM,06/04/2013 12:00:00 AM,martes,1899-12-31T00:00:00.000,El Caguán,Municipal,Sin Dato,Masculino,18,Conductor Moto,Motocicleta,Sin dato,No aplica,No aplica
06/16/2013 12:00:00 AM,06/16/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,Ninguna,Nacional,Volcamiento,Masculino,11,Pasajero Vehículo,Vehiculo particular,No aplica,No aplica,No aplica
06/16/2013 03:00:00 PM,06/16/2013 12:00:00 AM,domingo,1899-12-31T15:00:00.000,Ninguna,Nacional,Colisión con Objeto Fijo,Masculino,35,Conductor Vehículo,Vehiculo particular,No aplica,No aplica,No aplica
06/18/2013 12:00:00 AM,06/18/2013 12:00:00 AM,martes,1899-12-31T00:00:00.000,4,Municipal,Colisión con Objeto Móvil,Masculino,68,Sin Dato,Lancha/otro,Taxi,Sin dato,Sin dato
06/19/2013 12:00:00 AM,06/19/2013 12:00:00 AM,miércoles,1899-12-31T00:00:00.000,6,Municipal,Colisión con Objeto Móvil,Masculino,44,Conductor Moto,Motocicleta,Vehiculo particular,No aplica,No aplica
06/24/2013 12:00:00 AM,06/24/2013 12:00:00 AM,lunes,1899-12-31T00:00:00.000,9,Municipal,Sin Dato,Masculino,47,Conductor Moto,Taxi,Lancha/otro,Sin dato,Sin dato
07/01/2013 12:00:00 AM,07/01/2013 12:00:00 AM,lunes,1899-12-31T00:00:00.000,3,Municipal,Sin Dato,Masculino,37,Conductor Moto,Motocicleta,Sin dato,No aplica,No aplica
07/02/2013 12:00:00 AM,07/02/2013 12:00:00 AM,martes,1899-12-31T00:00:00.000,1,Municipal,Colisión con Objeto Fijo,Masculino,20,Conductor Moto,Vehiculo particular,No aplica,No aplica,No aplica
07/21/2013 07:00:00 AM,07/21/2013 12:00:00 AM,domingo,1899-12-31T07:00:00.000,4,Municipal,Colisión con Objeto Fijo,Masculino,26,Conductor Vehículo,Vehiculo particular,No aplica,No aplica,No aplica
07/21/2013 02:30:00 AM,07/21/2013 12:00:00 AM,domingo,1899-12-31T02:30:00.000,El Caguán,Municipal,Colisión con Objeto Fijo,Masculino,30,Conductor Moto,Taxi,Sin dato,Sin dato,Sin dato
07/26/2013 04:20:00 PM,07/26/2013 12:00:00 AM,viernes,1899-12-31T16:20:00.000,1,Municipal,Colisión con Objeto Móvil,Masculino,25,Conductor Moto,Motocicleta,Motocicleta,No aplica,No aplica
07/28/2013 12:00:00 AM,07/28/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,El Caguán,Municipal,Sin Dato,Masculino,35,Conductor Moto,Taxi,Lancha/otro,Sin dato,Sin dato
07/30/2013 10:30:00 PM,07/30/2013 12:00:00 AM,martes,1899-12-31T22:30:00.000,10,Municipal,Colisión con Objeto Fijo,Femenino,22,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
08/04/2013 09:30:00 PM,08/04/2013 12:00:00 AM,domingo,1899-12-31T21:30:00.000,6,Municipal,Peatón Atropellado,Masculino,8,Peatón,Autónomo (Peatón),Vehiculo particular,No aplica,No aplica
08/10/2013 01:45:00 AM,08/10/2013 12:00:00 AM,sábado,1899-12-31T01:45:00.000,7,Municipal,Colisión con Objeto Fijo,Masculino,15,Conductor Vehículo,Vehiculo particular,No aplica,No aplica,No aplica
08/11/2013 12:00:00 AM,08/11/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,El Caguán,Municipal,Sin Dato,Masculino,25,Conductor Moto,Motocicleta,Sin dato,No aplica,No aplica
09/07/2013 12:00:00 AM,09/07/2013 12:00:00 AM,sábado,1899-12-31T00:00:00.000,1,Municipal,Sin Dato,Masculino,65,Sin Dato,Lancha/otro,Tractomula,Sin dato,Sin dato
09/13/2013 04:10:00 AM,09/13/2013 12:00:00 AM,viernes,1899-12-31T04:10:00.000,Ninguna,Nacional,Volcamiento,Masculino,39,Conductor Vehículo,Vehiculo particular,Sin dato,Sin dato,Sin dato
09/13/2013 04:10:00 AM,09/13/2013 12:00:00 AM,viernes,1899-12-31T04:10:00.000,Ninguna,Nacional,Volcamiento,Femenino,44,Pasajero Vehículo,Vehiculo particular,Sin dato,Sin dato,Sin dato
09/13/2013 04:10:00 AM,09/13/2013 12:00:00 AM,viernes,1899-12-31T04:10:00.000,Ninguna,Nacional,Volcamiento,Femenino,67,Pasajero Vehículo,Vehiculo particular,Sin dato,Sin dato,Sin dato
10/14/2013 10:30:00 PM,10/14/2013 12:00:00 AM,lunes,1899-12-31T22:30:00.000,6,Municipal,Colisión con Objeto Fijo,Masculino,34,Conductor Moto,Motocicleta,No aplica,No aplica,No aplica
10/20/2013 12:00:00 AM,10/20/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,6,Municipal,Colisión con Objeto Móvil,Masculino,22,Ciclista,Bicicleta,Taxi,No aplica,No aplica
10/27/2013 12:00:00 AM,10/27/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,10,Municipal,Colisión con Objeto Fijo,Masculino,12,Pasajero Vehículo,Camión/Camioneta,No aplica,No aplica,No aplica
10/27/2013 12:00:00 AM,10/27/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,10,Municipal,Otra Clase de Accidente,Masculino,19,Otro,No aplica,Camión/Camioneta,No aplica,No aplica
11/10/2013 12:00:00 AM,11/10/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,4,Municipal,Sin Dato,Masculino,20,Conductor Moto,Motocicleta,Sin dato,No aplica,No aplica
11/12/2013 07:25:00 AM,11/12/2013 12:00:00 AM,martes,1899-12-31T07:25:00.000,3,Municipal,Colisión con Objeto Móvil,Femenino,20,Conductor Moto,Motocicleta,Camión/Camioneta,No aplica,No aplica
11/19/2013 12:00:00 AM,11/19/2013 12:00:00 AM,martes,1899-12-31T00:00:00.000,8,Municipal,Peatón Atropellado,Masculino,41,Peatón,Bicicleta,Vehiculo particular,Sin dato,Sin dato
11/23/2013 12:00:00 AM,11/23/2013 12:00:00 AM,sábado,1899-12-31T00:00:00.000,Ninguna,Municipal,Caída de Ocupante,Masculino,10,Pasajero Vehículo,Camión/Camioneta,No aplica,No aplica,No aplica
12/11/2013 10:40:00 PM,12/11/2013 12:00:00 AM,miércoles,1899-12-31T22:40:00.000,4,Municipal,Colisión con Objeto Móvil,Femenino,19,Conductor Moto,Motocicleta,Camión/Camioneta,No aplica,No aplica
12/15/2013 12:00:00 AM,12/15/2013 12:00:00 AM,domingo,1899-12-31T00:00:00.000,El Caguán,Municipal,Colisión con Objeto Móvil,Masculino,56,Ciclista,Motocicleta,Vehiculo particular,Sin dato,Sin dato
12/18/2013 04:30:00 PM,12/18/2013 12:00:00 AM,miércoles,1899-12-31T16:30:00.000,9,Municipal,Peatón Atropellado,Femenino,67,Peatón,Autónomo (Peatón),Camión/Camioneta,No aplica,No aplica
12/24/2013 12:00:00 AM,12/24/2013 12:00:00 AM,martes,1899-12-31T00:00:00.000,6,Municipal,Colisión con Objeto Móvil,Masculino,47,Ciclista,Motocicleta,Vehiculo particular,Sin dato,Sin dato
12/26/2013 12:00:00 AM,12/26/2013 12:00:00 AM,jueves,1899-12-31T00:00:00.000,6,Municipal,Colisión con Objeto Móvil,Femenino,42,Pasajero Moto,Motocicleta,Motocicleta,No aplica,No aplica
01/02/2014 12:00:00 AM,01/02/2014 12:00:00 AM,jueves,1899-12-31T00:00:00.000,5,Municipal,Colisión con Objeto Móvil,Masculino,22,Conductor Moto,Taxi,Vehiculo particular,Sin dato,Sin dato
01/05/2014 12:00:00 AM,01/05/2014 12:00:00 AM,domingo,1899-12-31T00:00:00.000,6,Municipal,Sin Dato,Masculino,35,Sin Dato,Lancha/otro,Lancha/otro,Sin dato,Sin dato
01/21/2014 02:30:00 PM,01/21/2014 12:00:00 AM,martes,1899-12-31T14:30:00.000,El Caguán,Municipal,Colisión con Objeto Móvil,Femenino,47,Pasajero Moto,Taxi,Camión/Camioneta,Sin dato,Sin dato
01/22/2014 02:30:00 PM,01/22/2014 12:00:00 AM,miércoles,1899-12-31T14:30:00.000,El Caguán,Municipal,Colisión con Objeto Móvil,Masculino,18,Conductor Moto,Taxi,Camión/Camioneta,Sin dato,Sin dato
01/31/2014 12:00:00 AM,01/31/2014 12:00:00 AM,viernes,1899-12-31T00:00:00.000,7,Municipal,Sin Dato,Masculino,28,Sin Dato,Lancha/otro,Lancha/otro,Lancha/otro,Lancha/otro
02/02/2014 12:00:00 AM,02/02/2014 12:00:00 AM,domingo,1899-12-31T00:00:00.000,4,Municipal,Colisión con Objeto Fijo,Masculino,31,Conductor Moto,Taxi,Sin dato,Sin dato,Sin dato
02/26/2014 02:30:00 PM,02/26/2014 12:00:00 AM,miércoles,1899-12-31T14:30:00.000,2,Municipal,Colisión con Objeto Móvil,Masculino,18,Conductor Moto,Taxi,Camión/Camioneta,Sin dato,Sin dato
03/03/2014 12:00:00 AM,03/03/2014 12:00:00 AM,lunes,1899-12-31T00:00:00.000,4,Municipal,Colisión con Objeto Móvil,Masculino,30,Conductor Moto,Taxi,Tractomula,Sin dato,Sin dato
03/17/2014 12:00:00 AM,03/17/2014 12:00:00 AM,lunes,1899-12-31T00:00:00.000,6,Municipal,Colisión con Objeto Móvil,Masculino,19,Conductor Moto,Taxi,Camión/Camioneta,Sin dato,Sin dato
03/31/2014 12:00:00 AM,03/31/2014 12:00:00 AM,lunes,1899-12-31T00:00:00.000,Ninguna,Municipal,Peatón Atropellado,Masculino,83,Peatón,Bicicleta,Taxi,Sin dato,Sin dato
04/05/2014 12:00:00 AM,04/05/2014 12:00:00 AM,sábado,1899-12-31T00:00:00.000,7,Municipal,Ciclista Atropellado,Masculino,79,Ciclista,Motocicleta,Taxi,Sin dato,Sin dato
04/21/2014 12:00:00 AM,04/21/2014 12:00:00 AM,lunes,1899-12-31T00:00:00.000,4,Municipal,Colisión con Objeto Móvil,Masculino,58,Conductor Moto,Taxi,Vehiculo particular,Sin dato,Sin dato
04/26/2014 12:00:00 AM,04/26/2014 12:00:00 AM,sábado,1899-12-31T00:00:00.000,10,Municipal,Colisión con Objeto Móvil,Masculino,18,Conductor Moto,Taxi,Taxi,Sin dato,Sin dato
05/01/2014 12:00:00 AM,05/01/2014 12:00:00 AM,jueves,1899-12-31T00:00:00.000,El Caguán,Municipal,Sin Dato,Masculino,43,Conductor Moto,Taxi,Lancha/otro,Sin dato,Sin dato
05/05/2014 12:00:00 AM,05/05/2014 12:00:00 AM,lunes,1899-12-31T00:00:00.000,3,Municipal,Colisión con Objeto Fijo,Masculino,30,Conductor Moto,Taxi,Sin dato,Sin dato,Sin dato
